Group,Coil,MEP,Time,Subject
SST,PA,0.352025484,200,5
SST,PA,1.954382786,200,6
SST,PA,0.867289186,200,7
SST,PA,1.520269205,200,8
SST,PA,0.953390326,200,9
SST,PA,3.187494981,200,10
SST,PA,2.388942188,200,11
SST,PA,2.45405267,200,12
SST,PA,3.300334822,200,13
SST,PA,0.890967404,250,1
SST,PA,0.699827872,250,2
SST,PA,3.694556942,250,3
SST,PA,1.024919199,250,4
SST,PA,0.577864963,250,5
SST,PA,2.579836578,250,6
SST,PA,1.649604286,250,7
SST,PA,2.305931702,250,8
SST,PA,2.447202344,250,9
SST,PA,5.694941629,250,10
SST,PA,3.332691876,250,11
SST,PA,3.982083523,250,12
SST,PA,4.754183351,250,13
SST,PA,1.108695181,300,1
SST,PA,0.402330149,300,2
SST,PA,3.399437159,300,3
SST,PA,2.030247742,300,4
SST,PA,0.598700299,300,5
SST,PA,2.576989481,300,6
SST,PA,2.655641546,300,7
SST,PA,2.375656548,300,8
SST,PA,1.681115183,300,9
SST,PA,6.078944723,300,10
SST,PA,3.568356709,300,11
SST,PA,4.056286327,300,12
SST,PA,6.493238903,300,13
SST,AP,0.737438586,0,1
SST,AP,0.370971467,0,2
SST,AP,0.463754118,0,3
SST,AP,0.631052068,0,4
SST,AP,0.783568636,0,5
SST,AP,0.429728836,0,6
SST,AP,1.324905582,0,7
SST,AP,1.019803983,0,8
SST,AP,0.766979454,0,9
SST,AP,1.444249402,0,10
SST,AP,0.753404268,0,11
SST,AP,0.6134519,0,12
SST,AP,1.103139712,0,13
SST,AP,0.450861725,50,1
SST,AP,0.24779947,50,2
SST,AP,0.4997559,50,3
SST,AP,0.923336424,50,4
SST,AP,0.627519154,50,5
SST,AP,0.481271025,50,6
SST,AP,0.687262206,50,7
SST,AP,1.360070883,50,8
SST,AP,1.058763834,50,9
SST,AP,1.211825732,50,10
SST,AP,0.224835243,50,11
SST,AP,0.500904906,50,12
SST,AP,0.663603702,50,13
SST,AP,0.536149513,100,1
SST,AP,0.430591558,100,2
SST,AP,0.5692786,100,3
SST,AP,0.653716515,100,4
SST,AP,0.408803244,100,5
SST,AP,0.25027684,100,6
SST,AP,0.950197456,100,7
SST,AP,0.971314124,100,8
SST,AP,1.011680508,100,9
SST,AP,1.296004222,100,10
SST,AP,0.685325973,100,11
SST,AP,0.469651182,100,12
SST,AP,0.495652596,100,13
SST,AP,0.654910188,150,1
SST,AP,0.772176505,150,2
SST,AP,0.602427344,150,3
SST,AP,0.973301958,150,4
SST,AP,0.542744986,150,5
SST,AP,0.281748256,150,6
SST,AP,1.019557787,150,7
SST,AP,1.118064209,150,8
SST,AP,0.467777075,150,9
SST,AP,4.173634266,150,10
SST,AP,0.66829,150,11
SST,AP,0.118689591,150,12
SST,AP,0.329401286,150,13
SST,AP,1.228125537,200,1
SST,AP,1.161941098,200,2
SST,AP,1.056627312,200,3
SST,AP,1.561611323,200,4
SST,AP,2.637913957,200,5
SST,AP,1.358802393,200,6
SST,AP,1.094478741,200,7
SST,AP,1.491319106,200,8
SST,AP,0.537996397,200,9
SST,AP,6.697296095,200,10
SST,AP,2.902222463,200,11
SST,AP,0.573830672,200,12
SST,AP,1.409663881,200,13
SST,AP,0.749242267,250,1
SST,AP,1.213117039,250,2
SST,AP,0.969490383,250,3
SST,AP,1.122538215,250,4
SST,AP,2.613450426,250,5
SST,AP,4.141243566,250,6
SST,AP,2.112098159,250,7
SST,AP,2.607943716,250,8
SST,AP,1.103937321,250,9
SST,AP,7.993697401,250,10
SST,AP,4.13798731,250,11
SST,AP,1.32834677,250,12
SST,AP,4.016965939,250,13
SST,AP,1.091933824,300,1
SST,AP,1.555682566,300,2
SST,AP,1.003010813,300,3
SST,AP,1.822242494,300,4
SST,AP,4.363702455,300,5
SST,AP,2.028195084,300,6
SST,AP,2.60392192,300,7
SST,AP,2.972758816,300,8
SST,AP,1.038363577,300,9
SST,AP,8.84967977,300,10
SST,AP,3.703717881,300,11
SST,AP,1.488736588,300,12
SST,AP,3.48078445,300,13
