Group,Coil,MEP,Time,Subject
SST,PA,0.782462393,150 - 200,8
SST,PA,0.65870395,150 - 200,9
SST,PA,2.252018794,150 - 200,10
SST,PA,1.548064684,150 - 200,11
SST,PA,0.541422634,150 - 200,12
SST,PA,0.913292297,150 - 200,13
SST,PA,0.570697885,200 - 250,1
SST,PA,0.122338627,200 - 250,2
SST,PA,1.425675059,200 - 250,3
SST,PA,0.867738138,200 - 250,4
SST,PA,0.435969608,200 - 250,5
SST,PA,0.890519837,200 - 250,6
SST,PA,1.561901377,200 - 250,7
SST,PA,1.214532316,200 - 250,8
SST,PA,0.711787668,200 - 250,9
SST,PA,3.512309827,200 - 250,10
SST,PA,0.913529815,200 - 250,11
SST,PA,0.475525784,200 - 250,12
SST,PA,0.841534528,200 - 250,13
SST,PA,0.480625333,250 - 300,1
SST,PA,0.434318871,250 - 300,2
SST,PA,1.488220143,250 - 300,3
SST,PA,0.645626097,250 - 300,4
SST,PA,0.493514581,250 - 300,5
SST,PA,0.856582751,250 - 300,6
SST,PA,0.941857792,250 - 300,7
SST,PA,0.912944427,250 - 300,8
SST,PA,0.843211258,250 - 300,9
SST,PA,2.543788406,250 - 300,10
SST,PA,0.725165972,250 - 300,11
SST,PA,0.402445712,250 - 300,12
SST,PA,0.743500767,250 - 300,13
SST,PA,0.504221532,300 - 350,1
SST,PA,0.768645421,300 - 350,2
SST,PA,2.012942824,300 - 350,3
SST,PA,0.864584981,300 - 350,4
SST,PA,0.452578096,300 - 350,5
SST,PA,0.543493393,300 - 350,6
SST,PA,0.773125746,300 - 350,7
SST,PA,0.655677955,300 - 350,8
SST,PA,0.963351641,300 - 350,9
SST,PA,2.109056627,300 - 350,10
SST,PA,0.627209178,300 - 350,11
SST,PA,0.235634023,300 - 350,12
SST,PA,0.601221795,300 - 350,13
SST,AP,1.950441568,050 - 100,1
SST,AP,2.188424996,050 - 100,2
SST,AP,NaN,050 - 100,3
SST,AP,6.872491335,050 - 100,4
SST,AP,7.832160239,050 - 100,5
SST,AP,8.216610785,050 - 100,6
SST,AP,7.528304657,050 - 100,7
SST,AP,5.242804654,050 - 100,8
SST,AP,NaN,050 - 100,9
SST,AP,7.218160854,050 - 100,10
SST,AP,6.525799317,050 - 100,11
SST,AP,3.230736841,050 - 100,12
SST,AP,5.434683285,050 - 100,13
SST,AP,0.841160718,100 - 150,1
SST,AP,0.941273049,100 - 150,2
SST,AP,2.874300731,100 - 150,3
SST,AP,0.875123233,100 - 150,4
SST,AP,3.837815798,100 - 150,5
SST,AP,3.893655595,100 - 150,6
SST,AP,6.774848068,100 - 150,7
SST,AP,3.880548407,100 - 150,8
SST,AP,0.576076746,100 - 150,9
SST,AP,6.90926458,100 - 150,10
SST,AP,1.773889467,100 - 150,11
SST,AP,0.53100171,100 - 150,12
SST,AP,1.910934856,100 - 150,13
SST,AP,NaN,150 - 200,1
SST,AP,0.303888614,150 - 200,2
SST,AP,0.868766293,150 - 200,3
SST,AP,0.950497568,150 - 200,4
SST,AP,0.407670574,150 - 200,5
SST,AP,0.678166424,150 - 200,6
SST,AP,1.530145691,150 - 200,7
SST,AP,3.69933463,150 - 200,8
SST,AP,1.991017469,150 - 200,9
SST,AP,2.880523305,150 - 200,10
SST,AP,1.937533597,150 - 200,11
SST,AP,0.327953098,150 - 200,12
SST,AP,0.60468668,150 - 200,13
SST,AP,0.846695626,200 - 250,1
SST,AP,0.338445624,200 - 250,2
SST,AP,1.22068484,200 - 250,3
SST,AP,0.804365895,200 - 250,4
SST,AP,0.832984815,200 - 250,5
SST,AP,0.33805746,200 - 250,6
SST,AP,1.35269974,200 - 250,7
SST,AP,4.182223236,200 - 250,8
SST,AP,0.673825573,200 - 250,9
SST,AP,2.004149439,200 - 250,10
SST,AP,1.936828668,200 - 250,11
SST,AP,0.515444975,200 - 250,12
SST,AP,0.689777571,200 - 250,13
SST,AP,0.786495666,250 - 300,1
SST,AP,0.257427365,250 - 300,2
SST,AP,0.548489503,250 - 300,3
SST,AP,0.670616794,250 - 300,4
SST,AP,0.595879578,250 - 300,5
SST,AP,0.57411167,250 - 300,6
SST,AP,0.540849074,250 - 300,7
SST,AP,2.353500143,250 - 300,8
