Analysis,Group,Type,Distance,Time,Subject
Response,Euclidean,Real,0.487092354,50,1
Response,Euclidean,Real,1.560437089,50,2
Response,Euclidean,Real,NaN,50,3
Response,Euclidean,Real,3.751664557,50,4
Response,Euclidean,Real,6.495924729,50,5
Response,Euclidean,Real,2.509238494,50,6
Response,Euclidean,Real,NaN,50,7
Response,Euclidean,Real,3.57343182,50,8
Response,Euclidean,Real,NaN,50,9
Response,Euclidean,Real,3.441506369,50,10
Response,Euclidean,Real,1.101697524,50,11
Response,Euclidean,Real,1.446356491,50,12
Response,Euclidean,Real,3.207336751,50,13
Response,Euclidean,Real,0.97551565,100,1
Response,Euclidean,Real,0.568910182,100,2
Response,Euclidean,Real,0.070643042,100,3
Response,Euclidean,Real,0.890496881,100,4
Response,Euclidean,Real,NaN,100,5
Response,Euclidean,Real,2.47436866,100,6
Response,Euclidean,Real,4.280698898,100,7
Response,Euclidean,Real,3.646323609,100,8
Response,Euclidean,Real,3.982387354,100,9
Response,Euclidean,Real,5.412278482,100,10
Response,Euclidean,Real,1.187981689,100,11
Response,Euclidean,Real,1.863100972,100,12
Response,Euclidean,Real,NaN,100,13
Response,Euclidean,Real,NaN,150,1
Response,Euclidean,Real,0.184311317,150,2
Response,Euclidean,Real,0.511237844,150,3
Response,Euclidean,Real,0.528438951,150,4
Response,Euclidean,Real,0.518908658,150,5
Response,Euclidean,Real,1.584280994,150,6
Response,Euclidean,Real,0.767247714,150,7
Response,Euclidean,Real,2.219206404,150,8
Response,Euclidean,Real,0.996427187,150,9
Response,Euclidean,Real,2.093173561,150,10
Response,Euclidean,Real,NaN,150,11
Response,Euclidean,Real,0.771417339,150,12
Response,Euclidean,Real,0.449043775,150,13
Response,Euclidean,Real,0.265480023,200,1
Response,Euclidean,Real,0.162100418,200,2
Response,Euclidean,Real,0.541898845,200,3
Response,Euclidean,Real,0.20179128,200,4
Response,Euclidean,Real,0.502061733,200,5
Response,Euclidean,Real,1.014176594,200,6
Response,Euclidean,Real,0.556977197,200,7
Response,Euclidean,Real,NaN,200,8
Response,Euclidean,Real,0.317819099,200,9
Response,Euclidean,Real,1.577764794,200,10
Response,Euclidean,Real,0.20169261,200,11
Response,Euclidean,Real,1.273167281,200,12
Response,Euclidean,Real,0.304873941,200,13
Response,Euclidean,Real,0.469634053,250,1
Response,Euclidean,Real,0.084626007,250,2
Response,Euclidean,Real,0.44562508,250,3
Response,Euclidean,Real,0.554873249,250,4
Response,Euclidean,Real,0.15147403,250,5
Response,Euclidean,Real,1.832662861,250,6
Response,Euclidean,Real,1.95457819,250,7
Response,Euclidean,Real,2.009363004,250,8
Response,Euclidean,Real,0.181022794,250,9
Response,Euclidean,Real,1.879124764,250,10
Response,Euclidean,Real,0.69868837,250,11
Response,Euclidean,Real,2.182473465,250,12
Response,Euclidean,Real,0.517516832,250,13
Response,Euclidean,Real,0.451764963,300,1
Response,Euclidean,Real,0.75778219,300,2
Response,Euclidean,Real,1.531365092,300,3
Response,Euclidean,Real,1.002487958,300,4
Response,Euclidean,Real,NaN,300,5
Response,Euclidean,Real,1.384985233,300,6
Response,Euclidean,Real,0.777447574,300,7
Response,Euclidean,Real,1.700717194,300,8
Response,Euclidean,Real,NaN,300,9
Response,Euclidean,Real,0.797742006,300,10
Response,Euclidean,Real,0.541993949,300,11
Response,Euclidean,Real,2.755214903,300,12
Response,Euclidean,Real,0.505769904,300,13
Response,Euclidean,Sim,0.516974641,50,1
Response,Euclidean,Sim,0.636673679,50,2
Response,Euclidean,Sim,2.312403264,50,3
Response,Euclidean,Sim,1.131372243,50,4
Response,Euclidean,Sim,1.762565589,50,5
Response,Euclidean,Sim,1.559902491,50,6
Response,Euclidean,Sim,1.480936614,50,7
Response,Euclidean,Sim,1.006849377,50,8
Response,Euclidean,Sim,1.895583572,50,9
Response,Euclidean,Sim,1.504847544,50,10
Response,Euclidean,Sim,1.455110306,50,11
Response,Euclidean,Sim,3.511566985,50,12
Response,Euclidean,Sim,1.101767406,50,13
Response,Euclidean,Sim,0.508735199,100,1
Response,Euclidean,Sim,0.556244182,100,2
Response,Euclidean,Sim,1.264848053,100,3
Response,Euclidean,Sim,0.328886148,100,4
Response,Euclidean,Sim,0.330974715,100,5
Response,Euclidean,Sim,0.869906058,100,6
Response,Euclidean,Sim,1.323258853,100,7
Response,Euclidean,Sim,0.93489565,100,8
Response,Euclidean,Sim,1.216466239,100,9
Response,Euclidean,Sim,0.967800802,100,10
Response,Euclidean,Sim,0.87129129,100,11
Response,Euclidean,Sim,1.055844674,100,12
Response,Euclidean,Sim,NaN,100,13
Response,Euclidean,Sim,0.156316618,150,1
Response,Euclidean,Sim,0.139514569,150,2
Response,Euclidean,Sim,0.788838433,150,3
Response,Euclidean,Sim,0.194907351,150,4
Response,Euclidean,Sim,0.249951049,150,5
Response,Euclidean,Sim,0.422178457,150,6
Response,Euclidean,Sim,0.779380251,150,7
Response,Euclidean,Sim,0.655637275,150,8
Response,Euclidean,Sim,0.278896091,150,9
Response,Euclidean,Sim,0.917429815,150,10
Response,Euclidean,Sim,NaN,150,11
Response,Euclidean,Sim,0.640654067,150,12
Response,Euclidean,Sim,0.130985843,150,13
Response,Euclidean,Sim,0.172609353,200,1
Response,Euclidean,Sim,0.076881098,200,2
Response,Euclidean,Sim,0.536823211,200,3
Response,Euclidean,Sim,0.280902173,200,4
Response,Euclidean,Sim,0.248507018,200,5
Response,Euclidean,Sim,0.391515934,200,6
Response,Euclidean,Sim,1.365096386,200,7
Response,Euclidean,Sim,NaN,200,8
Response,Euclidean,Sim,0.19025589,200,9
Response,Euclidean,Sim,0.744527894,200,10
Response,Euclidean,Sim,0.601207301,200,11
Response,Euclidean,Sim,0.77555741,200,12
Response,Euclidean,Sim,0.210732858,200,13
Response,Euclidean,Sim,0.349576234,250,1
Response,Euclidean,Sim,0.169249675,250,2
Response,Euclidean,Sim,0.532110625,250,3
Response,Euclidean,Sim,0.2545282,250,4
Response,Euclidean,Sim,0.339769794,250,5
Response,Euclidean,Sim,1.136439391,250,6
Response,Euclidean,Sim,1.341873887,250,7
Response,Euclidean,Sim,0.431713535,250,8
Response,Euclidean,Sim,0.217744375,250,9
Response,Euclidean,Sim,0.914844715,250,10
Response,Euclidean,Sim,0.311116975,250,11
